1479,2017,1143,1905,1008,1838,1143,762,3003,1950,3026,1860,3205,2578,2981,1905,3272,2712,2286,2712,2667,2510,2421,2353,2533,2286,3205,1681,2353,1860,1883,1793,2152,1950,2039,2152,2779,1950,2824,2331,2712,2107,2645,2219,2802,1883,2690,1927,2914,1883,2555,2690,1905,3183,2443,2039,807,1770,1793,1143,1569,717,2062,1076
1748,1457,381,2039,963,1322,1255,3205,2376,2600,2196,2936,2533,2241,2196,2891,2241,2891,2667,2667,2533,2286,2824,2555,2241,2936,2196,2981,2062,2667,2264,2802,2533,2667,2555,2421,1950,3071,2084,2578,2465,3093,2331,2779,2555,3385,1972,2712,2152,2936,2734,2488,2914,1995,3026,2398,2196,784,2465,1726,1031,1569,1300,1546
1748,717,2196,1210,1322,1793,2174,2421,2196,2353,2914,2959,2353,2981,3138,2488,2936,2331,2488,2578,2488,2622,2398,2757,2690,2376,3205,1972,2824,2488,2645,2376,2757,2443,2533,2510,2914,2667,2555,2578,2376,2600,2779,2219,2622,2443,3340,1815,2869,2622,2488,2152,2914,2824,2152,2802,2533,1927,650,2286,1345,1748,1165,1076
1188,1524,919,1591,2152,1457,2241,2578,2869,3026,2645,2309,2936,2734,2555,3116,2533,2824,2622,2421,2667,2465,2712,2398,2196,3048,2152,3093,2219,3003,2062,2891,1995,3116,2152,2600,2465,2286,2376,2667,2667,2376,2398,2824,2353,3026,2645,3295,1950,3228,2600,2533,2196,2578,3272,1726,2847,2421,1614,1098,1748,1815,1389,1255
1591,1524,1367,2107,896,2174,3317,2690,3160,2600,3003,2667,3003,2891,2959,2465,2779,2398,2600,2847,2286,2891,3026,2510,3362,2039,3048,2219,3116,1815,3272,2465,2779,2690,3003,2443,2959,2398,3003,2196,2712,2712,2824,2421,2690,2286,2869,2398,3654,1927,3048,3116,2712,1703,3407,3026,2017,3160,2129,1457,1255,1815,1860,1546
1569,1300,1389,1636,1905,3250,2039,3385,2107,3116,2309,3071,2712,2891,2465,2488,2353,2241,3026,2152,2936,3071,2107,2981,2039,3541,2062,3026,2331,3272,2107,3138,2331,2600,2129,3317,2331,3116,2107,3183,2465,2779,2533,2847,2712,2981,2264,3116,2309,3228,2712,2488,2600,3272,1748,2891,2667,2645,2981,2017,1345,1210,1434,1389
896,1300,2264,1053,2869,2331,4035,1972,2959,2107,3138,2779,2645,2353,2914,2734,2891,2959,2376,3093,2421,2622,2443,2734,3205,1793,2981,2331,2936,2196,2981,2129,2802,2129,3429,1501,3698,1838,3317,2443,2779,2734,2734,2488,3003,2690,3003,2734,2802,2757,2465,2578,2757,2129,3093,2734,2824,3026,3183,2690,1501,1591,851,1860
1367,1950,1188,1995,2622,3205,1905,3071,2353,3071,2869,2824,2309,3003,2891,2936,2533,2645,2914,2555,2824,3003,2622,3071,2107,3160,2331,2712,2398,2981,2174,2914,2264,2981,1972,3698,1748,3452,1950,3138,2578,2936,2779,2914,2622,3048,2398,3003,2667,3116,2690,2757,2488,2690,2286,2757,3295,2533,3026,2959,2152,1524,1838,807
1838,896,1322,3362,2510,2690,2936,2600,2690,3048,2734,2398,3093,2196,3250,2196,2690,2847,2779,2309,3183,2353,3272,2084,3228,2376,3160,2376,3317,2062,3407,2376,3250,2443,3116,2152,3497,2107,3362,2017,3116,2376,2510,2174,2936,2488,2936,2645,2690,3048,2488,2421,2443,2690,2645,2488,2398,2847,2421,2690,2510,1345,1412,2286
1165,1479,2533,2152,3116,2443,2690,2757,3071,2712,2712,2959,2443,3026,2734,2690,2936,3160,2152,3048,2039,3340,2309,3317,2152,3407,2376,3093,2376,2981,2600,2734,2488,2869,2578,3183,2219,3295,2309,3429,2353,2802,1300,2264,2241,3071,2331,2802,2667,3003,2847,2824,2757,2578,2488,2959,1995,2667,2690,2398,2555,2062,1793,1255
1367,1726,2421,2690,2712,2757,2959,2779,2286,2891,2847,2600,2712,2465,2712,2690,3116,2264,3272,2241,3698,1681,3654,1815,3631,2017,3407,2465,3183,2533,2891,2914,3138,2264,3340,2062,3362,2264,3541,2152,3250,605,2264,1165,2981,2421,3093,2174,2914,2981,2465,2555,2734,3295,2465,2353,2869,2488,2824,2129,2174,2510,1457,1793
1165,2152,2981,2600,2667,2981,2510,2421,2914,2712,2510,2802,2600,2914,2600,3160,2353,3250,2174,3407,1860,3586,2017,3564,1860,3631,1927,3071,2286,3407,2264,3519,2129,3295,2084,3138,2241,3272,2353,3048,1995,3519,1434,3541,2465,2936,2734,2891,2869,2600,3138,2712,2936,2331,2847,2421,2802,2510,2286,2622,2017,2309,1815,1031
