21805,24232,38684,45747,42632,44588,46472,43864,31331,35823,29122,38068,27057,37634,20791,30896,22493,17205,6157,33396,40459,23290,50855,28470,14561,12496,15828,20392,45059,37779,22529,15937
20537,25427,39336,43791,49804,43610,41546,40495,42886,40604,46725,27492,29448,13438,33903,6592,37127,14524,23218,5831,23761,27963,28470,49261,28071,17096,10902,28144,41111,43248,30353,18074
26767,22710,44661,41220,43864,42415,41835,43284,40387,49007,33794,37525,44371,36728,10576,19776,24884,40676,4310,21080,11699,23688,19197,30643,34772,13148,8765,36801,40568,48862,28723,25173
32599,30389,40423,45421,42306,44045,47921,37670,46725,36112,24558,44516,41799,44226,22203,18617,53788,7316,33106,20573,26043,2680,25101,16046,39300,24992,21298,25934,47341,36547,43864,19016
29267,32092,43393,40205,39010,43646,27564,26333,22058,26622,6374,43828,52992,30933,17603,56396,43320,39626,8149,32019,3187,25499,7316,24268,26043,45276,11880,40314,39553,38249,39553,23906
30607,35279,41292,38829,45856,29375,18219,10069,16263,3839,25681,18871,21805,25825,34084,21225,62192,21769,24485,16806,47558,47993,33758,11953,16589,20682,29774,33613,44697,34772,39952,20754
25862,39155,36692,44950,40531,26188,6882,21262,37054,33686,9526,37453,17096,33323,20392,57737,37634,27129,0,51869,47739,52992,59656,22783,14597,23326,25934,45856,33251,48283,29701,30027
23507,33142,37851,38032,40169,19124,20247,45059,60055,34301,47124,54440,40857,13293,59041,41546,61540,33613,19776,35750,57012,48283,52485,37090,24811,15249,49080,27093,53752,31222,38068,11590
21914,37416,31186,43936,40495,10178,33360,59222,48138,50166,53318,52086,29991,40133,45892,60598,41618,61975,17313,34374,50746,52738,44443,57483,24087,38431,32563,52738,33541,36330,14452,15539
14307,25825,21479,33722,38141,12097,50347,50492,54006,49406,41147,56650,34664,31005,58171,45059,55165,47341,35931,14597,58715,44262,53426,48138,45675,10757,57556,29846,45711,19704,18255,14814
17060,22131,19559,19197,19450,23652,54042,49695,51072,26333,56650,49840,29339,37127,49043,54114,53933,52593,34374,10214,27057,62735,44516,60779,26224,35823,36257,52774,21008,20754,8946,13293
10866,17639,25173,17965,9779,27274,49623,56252,40495,58244,43067,54296,25572,17603,60743,36293,26985,48645,18183,27564,10757,28289,57954,32961,40242,12423,53354,28615,32237,9671,13365,20827
16951,17820,21914,27564,14669,19052,55998,44914,60489,43791,62409,33686,17458,38757,43719,22058,17820,50637,37271,33794,45349,19776,2644,26224,1702,24920,25572,47124,15865,11554,16517,13438
13836,11192,21298,21732,25318,24123,21334,47051,40894,56904,33541,2463,65235,18581,56070,49116,30534,58425,30570,18943,24232,40024,36366,3948,26224,27709,40242,19233,15357,15901,11880,19088
17241,13220,14524,24775,23978,33541,35026,12568,17096,12713,26151,62627,23906,27963,32309,48609,59693,22384,25536,36656,19994,17784,12206,29520,22421,37815,23145,22529,14669,9707,22602,16299
10214,16625,17169,12460,23616,23833,39481,39372,34700,23109,32237,5034,29484,22819,22348,28904,46073,28868,17241,27202,32418,20356,24521,24051,27528,16154,19052,14090,8149,20936,15756,10866
14090,9671,14452,17386,12967,26948,33360,30679,33613,24956,11989,34338,24159,19197,27673,28904,46762,20428,27781,29267,24051,25717,27274,19378,26224,13039,20030,9417,18219,13474,11953,17422
